Primary import source,Critical mineral,Relationship
Jamaica,Aluminum,Ally
China,Antimony,Competitor
China,Arsenic,Competitor
China,Barite,Competitor
Kazakhstan,Beryllium,Neutral
China,Bismuth,Competitor
South Africa,Chromium,Neutral
Norway,Cobalt,Ally
Mexico,Fluorspar,Ally
China,Gallium,Competitor
China,Germanium,Competitor
China,Graphite,Competitor
Republic of Korea,Indium,Ally
Argentina,Lithium,Ally
Israel,Magnesium,Ally
Gabon,Manganese,Neutral
Canada,Nickel,Ally
Brazil,Niobium,Ally
Russia,Palladium,Competitor
South Africa,Platinum,Neutral
South Africa,Rare Earths,Neutral
Europe,Scandium,Ally
China,Tantalum,Competitor
Canada,Tellurium,Ally
Peru,Tin,Neutral
Japan,Titanium,Ally
China,Tungsten,Competitor
Canada,Vanadium,Ally
China,Yttrium,Competitor
Canada,Zinc,Ally
South Africa,Zirconium,Neutral
