"","year","state","red_blue_state","ranking","avg_rating"
"1","2022","AL","Republican",1,25.35
"2","2022","AK","Republican",1,23.825
"3","2022","AZ","Swing State",1,20.4
"4","2022","AR","Republican",1,22.025
"5","2022","CA","Democrat",6,9.025
"6","2022","CO","Democrat",5,17.6
"7","2022","CT","Democrat",6,7.025
"8","2022","DE","Democrat",5,13.625
"9","2022","FL","Swing State",4,14.475
"10","2022","GA","Swing State",1,20.225
"11","2022","HI","Democrat",6,4.6
"12","2022","ID","Republican",1,17
"13","2022","IL","Democrat",6,14.975
"14","2022","IN","Republican",3,18.025
"15","2022","IA","Republican",1,11.2
"16","2022","KS","Republican",1,17.6
"17","2022","KY","Republican",1,19.4
"18","2022","LA","Republican",1,28.2
"19","2022","ME","Democrat",1,12.425
"20","2022","MD","Democrat",6,13.85
"21","2022","MA","Democrat",6,3.8
"22","2022","MI","Swing State",4,15.3
"23","2022","MN","Swing State",4,10.15
"24","2022","MS","Republican",1,30.175
"25","2022","MO","Republican",1,23.725
"26","2022","MT","Republican",1,24.525
"27","2022","NE","Republican",4,11.7
"28","2022","NV","Swing State",4,19.425
"29","2022","NH","Democrat",1,9.875
"30","2022","NJ","Democrat",6,5.325
"31","2022","NM","Democrat",4,27.425
"32","2022","NY","Democrat",6,5.475
"33","2022","NC","Swing State",4,17.25
"34","2022","ND","Republican",1,15.975
"35","2022","OH","Swing State",3,16
"36","2022","OK","Republican",1,20.025
"37","2022","OR","Democrat",5,15.625
"38","2022","PA","Swing State",5,15.275
"39","2022","RI","Democrat",5,4.3
"40","2022","SC","Republican",1,21.3
"41","2022","SD","Republican",1,15.425
"42","2022","TN","Republican",1,21.9
"43","2022","TX","Republican",1,15.825
"44","2022","UT","Republican",1,12.75
"45","2022","VT","Democrat",4,13.4
"46","2022","VA","Democrat",5,15.15
"47","2022","WA","Democrat",5,12.8
"48","2022","WV","Republican",1,17.675
"49","2022","WI","Swing State",4,14.425
"50","2022","WY","Republican",1,24.825
